num_comps,dr%,DBI,ARI,completeness,v_measure,homogeneity
141, 0.0, 5.5769, 0.5169, 0.5382, 0.5371, 0.5359
136, 3.5461, 5.4495, 0.5047, 0.5191, 0.5191, 0.519
131, 7.0922, 5.4233, 0.5464, 0.5815, 0.5813, 0.5812
126, 10.6383, 5.0839, 0.2716, 0.335, 0.3119, 0.2917
121, 14.1844, 5.3073, 0.5457, 0.5724, 0.5723, 0.5721
116, 17.7305, 5.2461, 0.5457, 0.5724, 0.5723, 0.5721
111, 21.2766, 4.9135, 0.2024, 0.2872, 0.267, 0.2494
106, 24.8227, 4.9487, 0.2567, 0.313, 0.2991, 0.2864
101, 28.3688, 4.9734, 0.395, 0.4119, 0.406, 0.4004
96, 31.9149, 4.8852, 0.4424, 0.4496, 0.4467, 0.4438
91, 35.461, 4.5214, 0.2726, 0.3434, 0.3159, 0.2925
86, 39.0071, 4.9442, 0.4546, 0.4781, 0.4736, 0.4693
